station,cluster
1001,2
1002,2
1003,2
1005,2
1006,0
1012,2
1013,2
1016,2
1020,2
1021,2
1022,2
1023,1
1024,2
1031,2
1032,2
1034,0
1035,0
1036,3
2001,3
2002,1
2003,1
2004,1
2005,3
2006,0
2007,1
2008,3
2009,3
2010,1
2011,1
2012,1
2013,1
2014,2
2015,3
2016,2
2017,3
2020,3
2022,1
2023,1
2024,2
2025,2
2028,1
2030,2
2036,2
2037,1
2038,1
2039,1
2041,1
2042,1
3001,3
3002,3
3003,3
3004,3
3005,0
3007,3
3008,1
3009,0
3012,0
3013,0
3015,3
3016,2
3018,0
3021,0
3024,3
3029,0
3031,1
3036,3
3037,1
3038,3
3039,1
3043,0
3044,2
3051,0
3053,0
3058,3
3066,0
3067,0
3071,3
3079,0
3080,3
3082,1
3083,3
3084,3
3085,0
3086,0
3087,3
3088,1
3089,3
3091,3
3094,3
3097,2
3099,0
3100,0
3101,0
3102,0
3103,1
4001,1
4002,3
4003,1
4004,1
4005,3
4006,1
4007,1
4009,0
4011,3
4012,0
4014,1
4017,3
4021,2
4022,3
4023,1
4024,1
4025,1
4026,1
4041,3
4042,1
5001,3
5002,1
5004,1
5005,2
5006,2
5007,3
5008,3
5009,2
5015,1
5016,1
5026,2
5029,0
5030,1
5031,1
5036,1
5040,0
5041,0
5044,1
5045,1
5047,1
5050,3
5053,3
5054,1
5055,1
6001,3
6002,2
6003,3
6004,0
6005,1
6006,1
6007,1
6008,3
6011,1
6012,0
6016,1
6020,1
6021,0
6022,0
6023,2
6024,1
6028,3
6031,2
6032,2
6035,3
6036,3
6037,3
6040,3
6041,3
6042,3
6043,3
6044,0
6045,1
7001,2
7002,1
7003,0
7004,0
7005,3
7006,1
7007,0
7008,0
7009,1
7010,1
7011,0
7012,1
7013,3
7014,0
7016,0
7018,0
7020,1
7021,3
7022,1
7023,0
7024,1
7030,1
7031,1
7033,1
7034,3
7035,1
7038,0
7039,0
7041,0
7045,1
7046,1
7049,3
7052,0
7053,0
7055,1
7056,2
7057,1
7061,0
7062,0
7064,0
8001,1
8002,3
8003,1
8004,1
8006,1
8007,1
8008,1
8009,1
8010,0
8011,0
8015,1
8021,1
8024,1
8025,0
8029,1
8030,3
8034,0
8035,1
8037,1
8038,1
8039,0
8040,1
8041,1
8042,0
8051,1
8052,0
8053,1
8054,0
8056,0
8057,0
8058,1
8059,1
8060,1
8061,1
9002,1
9003,1
9004,1
9006,1
9008,1
9010,1
9011,1
9013,3
9014,1
9020,1
9022,1
9029,1
9032,1
9033,1
9040,1
9041,3
9042,3
9043,1
9044,1
9049,1
9050,1
9051,3
9052,3
10001,3
10002,3
10004,1
10005,3
10006,3
10007,0
10008,0
10011,1
10012,1
10013,1
10014,1
10016,1
10018,0
10024,0
10027,1
10028,0
10030,1
10031,1
10032,3
10034,0
10035,1
10036,3
10038,3
10039,1
10041,1
10043,1
10046,0
10047,0
10048,0
10049,1
10053,1
10054,3
10055,1
10056,3
10058,1
10059,0
10060,0
10061,0
10063,0
10064,0
10071,0
10072,1
10073,0
10074,1
10075,1
10079,1
10080,0
10083,0
10084,3
10086,1
10087,1
10088,1
10089,0
10091,1
10092,1
10101,3
10102,3
10103,3
10110,0
10111,3
10112,0
10113,1
10114,3
10115,1
10117,1
10118,1
10119,3
10120,0
10121,0
10122,1
11001,3
11002,0
11003,1
12001,3
12002,3
